x,z
0.000000,10.179351
0.670946,10.412296
1.341891,10.498531
2.012837,10.543676
2.683782,10.689010
3.354728,10.842788
4.025673,10.972842
4.696619,11.091311
5.367564,11.233483
6.038510,11.148273
6.709456,11.105220
7.380401,11.148668
8.051347,11.240436
8.722292,11.194423
9.393238,11.199961
10.064183,11.307535
10.735129,11.252855
11.406074,11.170686
12.077020,11.123045
12.747966,11.154142
13.418911,11.089276
14.089857,10.964744
14.760802,10.854430
15.431748,10.856066
16.102693,10.727474
16.773639,10.692980
17.444584,10.756100
18.115530,10.899195
18.786476,10.986479
19.457421,11.064013
20.128367,11.144547
20.799312,11.247756
21.470258,11.133515
22.141203,11.070912
22.812149,11.117208
23.483094,10.853875
24.154040,10.799280
24.824986,10.755002
25.495931,10.596973
26.166877,10.674127
26.837822,10.518739
27.508768,10.309402
28.179713,10.259135
28.850659,10.461283
29.521604,10.497361
30.192550,10.446939
30.863496,10.536599
31.534441,10.685689
32.205387,10.865655
32.876332,11.071851
33.547278,11.306550
34.218223,11.519898
34.889169,11.753922
35.560115,11.998761
36.231060,12.024905
36.902006,12.056678
37.572951,12.091349
38.243897,12.127587
38.914842,12.172373
39.585788,12.287956
40.256733,12.387004
40.927679,12.366570
41.598625,12.348258
42.269570,12.267316
42.940516,12.235128
43.611461,12.501103
44.282407,12.700106
44.953352,12.702287
45.624298,12.593217
46.295243,12.788136
46.966189,12.880566
47.637135,13.072053
48.308080,13.388778
48.979026,13.477650
49.649971,13.606853
50.320917,13.621791
50.991862,13.437946
51.662808,13.598167
52.333753,13.506674
53.004699,13.313135
53.675645,13.169435
54.346590,13.014319
55.017536,12.845761
55.688481,12.683109
56.359427,12.566053
57.030372,12.354291
57.701318,12.177708
58.372263,12.062904
59.043209,12.041905
59.714155,11.905848
60.385100,11.920938
61.056046,12.113669
61.726991,12.028145
62.397937,12.236076
63.068882,12.453951
63.739828,12.532299
64.410773,12.693199
65.081719,12.797553
65.752665,12.838675
66.423610,12.802704
67.094556,12.836522
67.765501,12.711592
68.436447,12.550658
69.107392,12.599741
69.778338,12.632608
70.449283,12.615510
71.120229,12.590690
71.791175,12.722467
72.462120,12.949771
73.133066,13.131926
73.804011,13.217769
74.474957,13.134795
75.145902,12.993883
75.816848,12.856487
76.487793,12.758637
77.158739,12.782054
77.829685,12.875097
78.500630,12.944372
79.171576,12.896622
79.842521,13.208999
80.513467,13.247614
81.184412,13.225275
81.855358,13.555473
82.526303,13.494329
83.197249,13.453612
83.868195,13.515806
84.539140,13.789828
85.210086,13.859611
85.881031,13.925007
86.551977,14.040588
87.222922,14.214290
87.893868,14.305053
88.564813,14.299261
